Title,Company,experience,Estimated_salary,location,Industry_type,job_type,key_skills
Data Scientist  Machine Learning (Commerce BU),Blue Yonder,4 - 8 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",Supply chainComputer scienceRetailSalesdata scienceMachine learningbig dataMonitoringPythonTesting
Data Scientist Machine Learning (Commerce BU),Blue Yonder,4 - 8 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",Supply chainSalesdata scienceMachine learningProduct salesHardwaredata enrichmentMonitoringTesting
Principal Data Scientist,Quadratyx,9 - 12 years,Not Disclosed,Hyderabad,BPO / Call Centre,"Full Time, Permanent",Analytical skillsdata scienceMachine learningNatural language processingResearchbig dataMATLABAnalyticsPrincipalPython
Senior Data Scientist,Mom Project,2 - 7 years,Not Disclosed,Remote,Internet,"Full Time, Permanent",Product managementdata scienceAnalyticalMachine learningFlexEquityMOMmicrosoftInformation technologyWFM
Data Scientist,NeenOpal Intelligent Solutions Pvt. Ltd.,2 - 6 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",Supply chaindata scienceCodingNeural networksAnalyticalMachine learningForecastingSQLPythonLogistics
Data Scientist,EarlySalary.com,2 - 7 years,Not Disclosed,Chennai,Banking,"Full Time, Permanent",Data ScienceGeneral StatisticsData ScientistArtificial IntelligenceRisk AnalyticsNeural NetworksBig DataMachine LearningDeep LearningPython
Senior Data Engineer,Airbnb,1 - 5 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",Data ScienceJavaData PipelineSoftware EngineeringScalaData EngineerSpark StreamingMachine LearningPython
Lead Data Scientist,DATA AXLE SOLUTIONS PRIVATE LIMITED ,9 - 12 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",Data ScienceNLPSnowflakeSparkMachine LearningPythonSQL
Senior Data Scientist,DATA AXLE SOLUTIONS PRIVATE LIMITED ,5 - 10 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",SparkPythonSQL
Business Data Analyst,GreatLearning,2 - 3 years,Not Disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru",Education / Training,"Full Time, Permanent",Business IntelligencePresentation SkillsBusiness SolutionsExcelAdvanced AnalyticsData AnalysisData AnalystPythonSql
Lead /Manager Data Scientist,Agreeya,7 - 12 years,Not Disclosed,Noida,IT Services & Consulting,"Full Time, Permanent",Data ScienceTechnical Lead Data ScienceLead Data ScientistManager Data ScienceMachine Learning
Machine Learning Engineer / AI Data Scientist,Wize Commerce India Pvt. Ltd. ,2 - 4 years,Not Disclosed,Gurgaon/Gurugram,Internet,"Full Time, Permanent",NLPArtificial IntelligenceMachine Learning
ASO Analyst,Kwalee ltd.,2 - 7 years,Not Disclosed,Bangalore/Bengaluru,Gaming,"Full Time, Permanent",Data AnalysisSEOASO
Data Scientist,ExecBoardinAsia,5 - 10 years,Not Disclosed,Gurgaon,Recruitment / Staffing,"Full Time, Permanent",model validationSalesdata scienceAnalyticalMachine learningmodel developmentPredictive modelingRevenue generation
Data Scientist,jupiter,2 - 5 years,Not Disclosed,Bangalore/Bengaluru,Courier / Logistics,"Full Time, Permanent",Data ScienceAlgorithmsCustomer ExperienceData ScientistComputer ScienceProblem SolvingMachine Learning
Data Scientist @ Limeroad,A.M. Marketplaces Private Limited,2 - 5 years,"₹ 10,00,000 - 20,00,000 P.A. ",Delhi / NCR,Internet,"Full Time, Permanent",Data ScienceMachine LearningDeep Learning
Senior Data Scientist  GoFood,Gojek Tech,4 - 8 years,Not Disclosed,Bengaluru,Internet,"Full Time, Permanent",Design engineeringSimulationdata scienceMachine learningFlexData collectionProduct designQuantitative techniquesMonitoringAndroid
Senior Data Scientist  GoFood,GO-JEK India,5 - 11 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",Design engineeringSimulationdata scienceMachine learningFlexData collectionProduct designQuantitative techniquesMonitoringAndroid
Sr. Data Scientist,SoulPage IT Solutions,4 - 6 years,Not Disclosed,Hyderabad/Secunderabad,IT Services & Consulting,"Full Time, Permanent",deep learningmetadatadata scienceMachine learningSystem programmingDebuggingData qualitybig dataAnalytics
Data Scientist,Gojek Tech,4 - 8 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",Data ScienceNlpData ScientistUser ExperienceProduct ManagersIosMachine LearningAndroid
Data Scientist,GO-JEK India,4 - 9 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Data ScienceNlpData ScientistUser ExperienceIosMachine LearningAndroid
Data Scientist,BlackBuck,3 - 7 years,Not Disclosed,"Gurgaon, Bengaluru",Film / Music / Entertainment,"Full Time, Permanent",deep learningOperations researchImage processingdata scienceMachine learningProgrammingSensorsRoute planningFinancial servicesMonitoring
Data Scientist 2,Gojek Tech,4 - 8 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",Design engineeringSimulationdata scienceMachine learningFlexData collectionProduct designQuantitative techniquesMonitoringAndroid
Data Scientist 2,GO-JEK India,6 - 11 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Design engineeringSimulationdata scienceMachine learningFlexData collectionProduct designQuantitative techniquesMonitoringAndroid
"Vice President - Data Scientist,Pan India",ExecBoardinAsia,11 - 15 years,Not Disclosed,Remote,Recruitment / Staffing,"Full Time, Permanent",data scienceMachine learningVice President
Data Analyst 1,Optum Global Solutions (India) Private Limited,5 - 10 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",T-SQLC#Business IntelligenceMSBIData AnalystSSISData QualitySnowflakeMS SQL Server.Net.NET C#Data WarehousingETL
Associate Data Analyst,Optum Global Solutions (India) Private Limited,3 - 8 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",T-SQLC#SSIS 2012Business IntelligenceMSBIData AnalystTableauSSISData QualityPowerBIBusiness Intelligence DeveloperMS SQL Server.NetData WarehousingETL
Data Scientist,Pixxel,4 - 7 years,Not Disclosed,Bangalore/Bengaluru,Defence & Aerospace,"Full Time, Permanent",Data ScienceSoftware DevelopmentSoftware EngineeringData ScientistImage ProcessingComputer ScienceKerasDeep LearningPython
Data Scientist,ExecBoardinAsia,5 - 10 years,Not Disclosed,Chennai,Recruitment / Staffing,"Full Time, Permanent",Statistical analysisdata sciencemodel developmentResearchMonitoring
Data Science Engineer,Bloom Consulting Services,2 - 5 years,Not Disclosed,Bengaluru,Recruitment / Staffing,"Full Time, Permanent",Statistical programmingdata scienceMachine learningSCALAOpen sourceData miningRubyMATLABSQLPython
Senior Data Scientist,Kaleidofin,4 - 9 years,Not Disclosed,"Chennai, Bangalore/Bengaluru",Banking,"Full Time, Permanent",Data ScienceHiveData ScientistHadoopBig DataData CollectionSparkPython
Data Scientist,Pegasus Knowledge Solutions India Private Limited,8 - 10 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",Base SASExceldata scienceData modelingSQLPython
Data Scientist,Hitachi ABB Power Grids,5 - 8 years,Not Disclosed,Chennai,Electronic Components / Semiconductors,"Full Time, Permanent",ProcurementSystem testingISOdata scienceCodingAgile developmentData collectionData miningmicrosoftPython
Senior Data Engineer,Third Eye Consulting Services & Solutions,3 - 6 years,Not Disclosed,Kolkata,IT Services & Consulting,"Full Time, Permanent",Computer scienceGITdata scienceDatabase designMachine learningStatistical softwareData qualitydata visualizationPythondata profiling
Lead Data Scientist,Quince,3 - 8 years,Not Disclosed,Hyderabad/Secunderabad,Retail,"Full Time, Permanent",Data ScienceAlgorithmsData EngineeringData ScientistProblem SolvingSqlPython
Principal Data Analyst,Cimpress India Private Limited,10 - 16 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",Google OptimizelyRGoogle AnalyticsData WranglingData AnalysisA/B/N testingTableauOptimizelyLookerAdobe AnalyticsSQLPython
Business Analyst - Model Risk Management,CogNext,2 - 7 years,Not Disclosed,Mumbai,IT Services & Consulting,"Full Time, Permanent",capital managementcustomer analyticsBusiness Analystdata scienceRisk assessmentBankingRisk managementFraud detection
Senior Data Analyst - R/ Python - BFSI,Huquo Consulting Pvt. Ltd,3 - 7 years,Not Disclosed,Noida,Banking,"Full Time, Permanent",Data ManagementStatistical ModelingData MiningData ModelingData AnalyticsMachine LearningAnalyticsPython
Data Engineer,ORMAE (Operations Research Machine learning & Analytics Experts LLP),2 - 7 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Data ScienceJavaAws CloudCall CentreHadoopData EngineerNosql DatabasesMachine LearningPythonApache Spark
Data Scientist,job store consulting,3 - 8 years,Not Disclosed,Coimbatore,IT Services & Consulting,"Full Time, Permanent",deep learningdata sciencePythonSalesforce
