Text,rating,price,ROM,Display,camera,chip
"Apple iPhone 11 (Green, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹49,900",64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 12 Pro Max (Graphite, 256 GB)",4.6,"₹1,29,900",256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)",4.5,"₹30,999",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 11 (Purple, 256 GB)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)",4.5,"₹30,999",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 11 (Black, 256 GB)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone 11 (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone XR (Blue, 64 GB)",4.6,"₹42,999",,,,
"APPLE iPhone 13 Pro Max (Silver, 128 GB)",,"₹1,29,900",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"Apple iPhone 11 (Black, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone XR (Yellow, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999",64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"Apple iPhone 11 (Green, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹54,900",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 8 (PRODUCT)RED (Red, 256 GB)",4.7,"₹81,500",,,,
"Apple iPhone XR (Blue, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹91,900",256 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 11 Pro Max (Silver, 256 GB)",4.7,"₹1,31,900",256 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone 11 (Purple, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone 11 (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹54,900",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone XR ((PRODUCT)RED, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹91,900",256 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 6 (Space Grey, 64 GB)",4.4,"₹44,999",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,A8 Chip with 64-bit Architecture and M8 Motion Co-processor
"APPLE iPhone 11 Pro Max (Space Grey, 256 GB)",4.7,"₹1,31,900",256 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
