Title,Rating,Price,Series,color,power_backup,processor_brand,processor,ssd,ram,ram_type,hardsk_capacity,touch_screen,screen_size
"Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15 ITL 05 Thin and Light Laptop  (15.6 inch, Graphite Grey, 1.66 Kg, With MS Office)",4.1,"₹60,990",Ideapad Slim 5i,Graphite Grey,Upto 11 Hours,Intel,Core i5,Yes,256 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"Lenovo IdeaPad 5 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop  (14 inch, Graphite Grey, With MS Office)",,"₹62,990",14ITL05,IdeaPad 5,Processing & Multitasking,Intel,Core i5,Yes,512 GB,16 GB,DDR4,"11ax, 2x2",v5.1
"acer Spin 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) SP314-54N-33X8 2 in 1 Laptop  (14 inch, Silver, 1.5 kg)",,"₹54,999",Spin 3,Silver,Upto 16 Hours,Intel,Core i3,Yes,256 GB,8 GB,DDR4,Yes,35.56 cm (14 inch)
"Lenovo Yoga Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home) Yoga S940-14IIL Thin and Light Laptop  (14 inch, Grey, Black, 1.25 kg)",2.5,"₹1,19,990",Yoga,"Grey, Black",Upto 16 hours,Intel,Core i7,Yes,1 TB,16 GB,LPDDR4X,No,35.56 cm (14 inch)
"HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-du1064TU Laptop  (15.6 inch, Jet Black, 1.82 KG, With MS Office)",4.3,"₹44,490",15s,Jet Black,3,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"LG Gram 15 Core i5 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) Gram 15Z90N Laptop  (15.6 inch, Dark Silver, 1.12 g)",4.4,"₹72,990",Gram 15,Dark Silver,Upto 18.5 hours,Intel,Core i5,Yes,256 GB,8 GB,DDR4,No,39.62 cm (15.6 inch)
"HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s-dy2500TU Thin and Light Laptop  (14 inch, Jet Black, 1.46 kg, With MS Office)",4.2,"₹41,490",14s,Jet Black,Upto 12 Hours,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,35.56 cm (14 inch)
"HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s- ER0503TU Thin and Light Laptop  (14 Inch, Natural Silver, 1.49 KG, With MS Office)",,"₹64,990",14s,Natural Silver,3 Cell,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,35.56 cm (14 Inch)
"HP Envy 13 x360 Ryzen 5 Hexa Core 4500U - (16 GB/512 GB SSD/Windows 11 Home) 13-ay0533AU Thin and Light Laptop  (13.3 inch, Nightfall Black, 1.32 kg, With MS Office)",,"₹79,990",13-ay0533AU,Envy 13 x360,Processing & Multitasking,AMD,Ryzen 5 Hexa Core,512 GB,16 GB,DDR4,4500U,Yes,33.78 cm (13.3 inch)
"ASUS ExpertBook P1 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Pro) ExpertBook P1 P1440FA Thin and Light Laptop  (14 inch, Black, 1.68 kg)",,"₹62,699",P1440FA-FQ2351R,ExpertBook P1,Processing & Multitasking,Intel,Core i5,No,8 GB,DDR4,1 TB,No,35.56 cm (14 inch)
"HP Spectre x360 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home) 13-aw2002TU 2 in 1 Laptop  (13.3 inch, Poseidon Blue, 1.27 kg, With MS Office)",,"₹1,49,999",Spectre x360,Poseidon Blue,4 cell,Intel,Core i7,Yes,1 TB,16 GB,LPDDR4X,Yes,33.78 cm (13.3 inch)
"Lenovo Legion Y540 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) Y540-15IRH-PG0 Thin and Light Laptop  (15.6 inch, Raven Black)",4.4,"₹57,990",Legion Y540,Raven Black,Upto 10 Hours,GDDR5,4 GB,Core i5,9th Gen,Yes,512 GB,No,39.62 cm (15.6 inch)
"ASUS ExpertBook P2 Core i5 10th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) ExpertBook P2 P2451FB Thin and Light Laptop  (14 inch, Star Black, 1.60 kg)",,"₹69,290",P2451FB-EK0058,ExpertBook P2,Processing & Multitasking,GDDR5,2 GB,Core i5,10th Gen,No,8 GB,No,35.56 cm (14 inch)
"acer Swift 5 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) SF514-52T Thin and Light Laptop  (14 inch, Honey Gold, 0.97 kg, With MS Office)",4,"₹81,998",Swift 5,Honey Gold,Upto 8 hours,Intel,Core i5,Yes,256 GB,8 GB,DDR3,Yes,35.56 cm (14 inch)
"Lenovo Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) V15 -ADA Laptop  (15.6 inch, Iron Grey, 1.85 kg)",,"₹35,490",V15-ADA,Iron Grey,Upto 5 hours,AMD,Ryzen 3 Dual Core,4 GB,DDR4,1 TB,3250U,No,39.62 cm (15.6 inch)
"Lenovo Ideapad S540 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) S540-13ITL Thin and Light Laptop  (13.3 inch, Iron Grey, 1.28 kg, With MS Office)",4.4,"₹76,990",Ideapad S540,Iron Grey,Upto 16 hours,Intel,Core i7,Yes,512 GB,16 GB,DDR4,No,33.78 cm (13.3 inch)
"ASUS ExpertBook B9 Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home) ExpertBook B9 B9450FA Thin and Light Laptop  (14 inch, Star Black, 0.995 kg)",5,"₹1,54,990",B9450FA-BM0695T,ExpertBook B9,Processing & Multitasking,Intel,Core i7,Yes,1 TB,16 GB,LPDDR3,No,35.56 cm (14 inch)
"Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/165 Hz) 16ACH6H Gaming Laptop  (16 inches, Storm Grey, 2.45 kg, With MS Office)",4.7,"₹1,42,990",Legion 5 Pro,Storm Grey,4.2 hour,GDDR6,6 GB,Ryzen 7 Octa Core,Yes,1 TB,16 GB,No,40.64 cm (16 inches)
"ASUS ExpertBook B9 Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Pro) ExpertBook B9 B9450FA Thin and Light Laptop  (14 inch, Star Black, 0.995 kg)",,"₹1,67,990",B9450FA-BM0336R,ExpertBook B9,Processing & Multitasking,Intel,Core i7,Yes,1 TB,16 GB,LPDDR3,No,35.56 cm (14 inch)
"Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15IHU6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg, With MS Office)",,"₹67,990",15IHU6,IdeaPad Gaming 3,Gaming,GDDR6,4 GB,Core i5,11th Gen,Yes,512 GB,No,39.62 cm (15.6 inch)
"acer Aspire 5 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) A515-52G Thin and Light Laptop  (15.6 inch, Pure Silver, 1.8 kg)",4.1,"₹61,990",Aspire 5,Pure Silver,Upto 8 hours,GDDR5,2 GB,Core i5,8th Gen,No,8 GB,No,39.62 cm (15.6 inch)
"Lenovo Lenovo Legion 5 Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Phantom Blue, Shadow Black, 2.4 kg, With MS Office)",,"₹99,990",Lenovo Legion 5,"Phantom Blue, Shadow Black",Upto 9.29 hours,GDDR6,4 GB,Ryzen 7 Octa Core,Yes,512 GB,16 GB,No,39.62 cm (15.6 inch)
"DELL Core i5 5th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 7548 Laptop  (15.6 inch, Silver, 2.06 kg)",1.6,"₹69,500",Inspiron,Silver,3 cell,DDR3,4 GB,Core i5,5th Gen,No,8 GB,Yes,39.62 cm (15.6 inch)
"Lenovo ThinkPad E15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) E15 Laptop  (15.6 Inch, Black, 1.7 kg, With MS Office)",4,"₹99,990",ThinkPad E15,ThinkPad E15,Processing & Multitasking,GDDR5,2 GB,Core i7,11th Gen,Yes,512 GB,No,39.62 cm (15.6 Inch)
"HP Spectre x360 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Pro) 13-aw0205tu 2 in 1 Laptop  (13.3 inch, Nightfall Black, 1.27 kg)",3.3,"₹1,62,990",Spectre x360,Nightfall Black,65 W AC Adapter,Intel,Core i7,Yes,512 GB,16 GB,DDR4,Yes,33.78 cm (13.3 inch)
"Lenovo ThinkPad Core i5 10th Gen - (8 GB/512 GB HDD/512 GB SSD/Windows 10 Pro) T14 Thin and Light Laptop  (14 Inch, Black, 1.55 KG)",,"₹1,25,124",ThinkPad T14,ThinkPad,Processing & Multitasking,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Yes,35.56 cm (14 Inch)
"HP Pavilion 13 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) 13-an0046tu Thin and Light Laptop  (13.3 inch, Mineral Silver, 1.3 kg)",,"₹73,990",Pavilion 13,Mineral Silver,45 W AC Adapter,Intel,Core i5,Yes,256 GB,8 GB,DDR4,No,33.78 cm (13.3 inch)
"acer Aspire 5 Core i5 8th Gen - (8 GB + 16 GB Optane/1 TB HDD/Windows 10 Home/2 GB Graphics) A515-52G-580Q Thin and Light Laptop  (15.6 inch, Silver, 1.8 kg, With MS Office)",4.1,"₹61,990",Aspire 5,Silver,Upto 8 hours,GDDR5,2 GB,Core i5,8th Gen,No,8 GB,No,39.62 cm (15.6 inch)
"HP 15 Core i7 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 15-dc0082TX Laptop  (15.6 inch, Shadow Black, 2.38 kg)",,"₹1,16,941",15,Shadow Black,3 cell,GDDR5,4 GB,Core i7,8th Gen,Yes,128 GB,No,39.62 cm (15.6 inch)
"HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s-DQ2100TU Thin and Light Laptop  (14 inch, Jet Black, 1.46 kg, With MS Office)",4.2,"₹40,000",Jet Black,Thin and Light Laptop,3 cell,Intel,Core i3,Yes,256 GB,8 GB,DDR4,No,35.56 cm (14 inch)
"APPLE MacBook Pro Core i5 8th Gen - (8 GB/512 GB SSD/Mac OS Mojave) MV972HN/A  (13.3 inch, Space Grey, 1.37 kg)",4.3,"₹1,59,990",MacBook Pro,Space Grey,Upto 10 hours,Intel,Core i5,Yes,512 GB,8 GB,DDR3,No,33.78 cm (13.3 inch)
"Nexstgo Core i5 8th Gen - (16 GB/512 GB SSD/Windows 10 Pro) NX101 Thin and Light Laptop  (14 inch, Grey, 1.35 kg)",,"₹97,990",Grey,Thin and Light Laptop,3 cell,Intel,Core i5,Yes,512 GB,16 GB,DDR4,No,35.56 cm (14 inch)
"HP Spectre x360 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Pro) 13-ap0121TU 2 in 1 Laptop  (13.3 inch, Poseidon Blue, 1.32 kg, With MS Office)",,"₹1,51,133",Spectre x360,Poseidon Blue,4 cell,Intel,Core i5,Yes,256 GB,8 GB,DDR4,Yes,33.78 cm (13.3 inch)
"Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 10 Home) 13ALC6 Thin and Light Laptop  (13.3 inch, Abyss Blue, 1.31 kg, With MS Office)",,"₹80,990",13ALC6,Yoga 6,Processing & Multitasking,AMD,Ryzen 5 Hexa Core,512 GB,16 GB,DDR4,5500U,Yes,33.78 cm (13.3 inch)
"Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14 ITL 6 Thin and Light Laptop  (14 Inch, Arctic Grey, 1.41 KG, With MS Office)",4.5,"₹56,990",Ideapad Slim 3i (2021),Arctic Grey,Upto 7.5 Hours,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,35.56 cm (14 Inch)
"Lenovo Thinkpad Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/DOS) E14 AMD Gen3 Thin and Light Laptop  (14 inch, Black, 1.69 kg)",,"₹62,490",E14 AMD Gen 3,Thinkpad,Processing & Multitasking,AMD,Ryzen 5 Hexa Core,512 GB,8 GB,DDR4,5600U,No,35.56 cm (14 inch)
"HP Spectre x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Pro) 13-aw0211TU 2 in 1 Laptop  (13.3 inch, Poseidon Blue, 1.27 kg)",5,"₹1,27,990",Spectre x360,Poseidon Blue,65 W AC Adapter,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Yes,33.78 cm (13.3 inch)
"HP 15 Core i7 8th Gen - (16 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) 15-dc0084TX Laptop  (15.6 inch, Shadow Black, 2.38 kg)",,"₹1,26,873",15,Shadow Black,3 cell,GDDR5,4 GB,Core i7,8th Gen,Yes,128 GB,No,39.62 cm (15.6 inch)
"HP Omen Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1050) 15-ce071TX Gaming Laptop  (15.6 inch, SHadow Black, 2.6 kg)",,"₹1,02,551",Omen,SHadow Black,4 cell,GDDR5,4 GB,Core i5,7th Gen,Yes,128 GB,No,39.62 cm (15.6 inch)
"Nokia PureBook S14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) NKi511TL85S Thin and Light Laptop  (14.1 inch, Black, 1.4 KG)",,"₹56,990",PureBook S14,Black,Up to 6 hours,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,35.81 cm (14.1 inch)
"Lenovo IdeaPad 5 Pro Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 14ITL6 Thin and Light Laptop  (14 Inch, Storm Grey, 1.41 kg, With MS Office)",,"₹78,990",14ITL6,IdeaPad 5 Pro,Processing & Multitasking,GDDR6,2 GB,Core i5,11th Gen,Yes,512 GB,No,35.56 cm (14 Inch)
"ASUS Pro P5 Core i7 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Pro) Pro P5 P5440FA Thin and Light Laptop  (14 inch, Grey, 1.26 kg)",,"₹98,912",Pro P5,Grey,65 W AC Adapter,Intel,Core i7,Yes,256 GB,8 GB,DDR4,No,35.56 cm (14 inch)
"ASUS ExpertBook B9 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) ExpertBook B9 B9450FA Thin and Light Laptop  (14 inch, Star Black, 0.995 kg)",,"₹1,09,990",B9450FA-BM0691T,ExpertBook B9,Processing & Multitasking,Intel,Core i5,Yes,512 GB,8 GB,LPDDR3,No,35.56 cm (14 inch)
